date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:55	33058/33058	---MCZ	200	added ('OK')	text/html	etag:%22a3662b81312c13fcc4122ac0e5356056-ssl-df%22	https://kalvin.netlify.app/index-slider.html	/home/rahul/websites/resume/kalvin.netlify.app/index-slider.html	(from )
10:05:56	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1532291161-ssl-df	https://kalvin.netlify.app/robots.txt		(from )
10:05:56	7406/7406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22611c4e64926943b573ff7e1ca18afe8e-ssl%22	https://kalvin.netlify.app/images/favicon.ico	/home/rahul/websites/resume/kalvin.netlify.app/images/favicon.ico	(from https://kalvin.netlify.app/index-slider.html)
10:05:58	31000/31000	---MCZ	200	added ('OK')	text/css	etag:%22f39f5a728c417e85499ac1451e48241d-ssl-df%22	https://kalvin.netlify.app/css/font-awesome.min.css	/home/rahul/websites/resume/kalvin.netlify.app/css/font-awesome.min.css	(from https://kalvin.netlify.app/index-slider.html)
10:05:59	161363/161363	---MCZ	200	added ('OK')	text/css	etag:%227581fbd087483ef4cb89d6565c7aaace-ssl-df%22	https://kalvin.netlify.app/css/bootstrap.css	/home/rahul/websites/resume/kalvin.netlify.app/css/bootstrap.css	(from https://kalvin.netlify.app/index-slider.html)
10:05:59	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22873d102310523db811ebc62724307bfc-ssl-df%22	https://kalvin.netlify.app/css/owl.carousel.min.css	/home/rahul/websites/resume/kalvin.netlify.app/css/owl.carousel.min.css	(from https://kalvin.netlify.app/index-slider.html)
10:06:00	1013/1013	---M--	200	added ('OK')	text/css	etag:%221476dd3bc3f316818799abecb07b1ea5-ssl%22	https://kalvin.netlify.app/css/owl.theme.default.min.css	/home/rahul/websites/resume/kalvin.netlify.app/css/owl.theme.default.min.css	(from https://kalvin.netlify.app/index-slider.html)
10:06:02	8197/8197	---MCZ	200	added ('OK')	text/css	etag:%222cb38b8a86689d92d25d873a338ac074-ssl-df%22	https://kalvin.netlify.app/css/magnific-popup.css	/home/rahul/websites/resume/kalvin.netlify.app/css/magnific-popup.css	(from https://kalvin.netlify.app/index-slider.html)
10:06:03	30359/30359	---MCZ	200	added ('OK')	text/css	etag:%225093f428097a5cf8acb690c06f84f087-ssl-df%22	https://kalvin.netlify.app/css/style.css	/home/rahul/websites/resume/kalvin.netlify.app/css/style.css	(from https://kalvin.netlify.app/index-slider.html)
10:06:04	11207/11207	---MCZ	200	added ('OK')	text/html	etag:%224bc2e3d61daa0ec37978ae231c05b779-ssl-df%22	https://kalvin.netlify.app/index.html	/home/rahul/websites/resume/kalvin.netlify.app/index.html	(from https://kalvin.netlify.app/index-slider.html)
10:06:06	338992/338992	---M--	200	added ('OK')	image/jpeg	etag:%2200238fc3905467fe387552c3b61c056b-ssl%22	https://kalvin.netlify.app/images/slider/img-1.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/slider/img-1.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:07	341975/341975	---M--	200	added ('OK')	image/jpeg	etag:%2255972b7e7dec6e1abe2681c25661603a-ssl%22	https://kalvin.netlify.app/images/slider/img-2.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/slider/img-2.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:07	78624/78624	---M--	200	added ('OK')	image/jpeg	etag:%2274ca5e0a3fe5bcc90a91d3f60b9596cb-ssl%22	https://kalvin.netlify.app/images/about-img.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/about-img.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:08	16360/16360	---M--	200	added ('OK')	image/jpeg	etag:%226b1457dad1ab34db66d4054c38645dab-ssl%22	https://kalvin.netlify.app/images/portfolio/img-1.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/portfolio/img-1.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:09	311982/311982	---M--	200	added ('OK')	image/jpeg	etag:%2290f807c6a04a096cec0d2c8a29b73237-ssl%22	https://kalvin.netlify.app/images/background/stats-bg.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/background/stats-bg.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:10	34941/34941	---M--	200	added ('OK')	image/jpeg	etag:%2228621e575a83c32becae843101f2fb2b-ssl%22	https://kalvin.netlify.app/images/portfolio/img-2.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/portfolio/img-2.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:11	36247/36247	---M--	200	added ('OK')	image/jpeg	etag:%22428038c108adc798b2acf911ca609784-ssl%22	https://kalvin.netlify.app/images/portfolio/img-3.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/portfolio/img-3.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:12	36644/36644	---M--	200	added ('OK')	image/jpeg	etag:%22262d8fb8f144be491c6b4bb69a5955bb-ssl%22	https://kalvin.netlify.app/images/portfolio/img-4.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/portfolio/img-4.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:13	31857/31857	---M--	200	added ('OK')	image/jpeg	etag:%22931a28695a3b58698e752ecdce33cb37-ssl%22	https://kalvin.netlify.app/images/portfolio/img-5.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/portfolio/img-5.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:13	17499/17499	---M--	200	added ('OK')	image/jpeg	etag:%221040a0c90167e119dbf1e29044a350ae-ssl%22	https://kalvin.netlify.app/images/portfolio/img-6.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/portfolio/img-6.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:15	11778/11778	---MCZ	200	added ('OK')	text/html	etag:%2270bea5b9a631495279224910ee6c5e14-ssl-df%22	https://kalvin.netlify.app/single-blog.html	/home/rahul/websites/resume/kalvin.netlify.app/single-blog.html	(from https://kalvin.netlify.app/index-slider.html)
10:06:16	39288/39288	---M--	200	added ('OK')	image/jpeg	etag:%220e544a207a55b0d4ea503fbde6bbf512-ssl%22	https://kalvin.netlify.app/images/blog/img-1.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/blog/img-1.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:17	74520/74520	---M--	200	added ('OK')	image/jpeg	etag:%2263cb4e0fb9254e8425c3e909675363c1-ssl%22	https://kalvin.netlify.app/images/blog/img-2.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/blog/img-2.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:18	56860/56860	---M--	200	added ('OK')	image/jpeg	etag:%22137779e035ede219b9a911ce10aa9f44-ssl%22	https://kalvin.netlify.app/images/blog/img-3.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/blog/img-3.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:19	23956/23956	---M--	200	added ('OK')	image/jpeg	etag:%2297ae237ff032d670bbdb80083506a3d0-ssl%22	https://kalvin.netlify.app/images/blog/img-4.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/blog/img-4.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:20	12864/12864	---MCZ	200	added ('OK')	text/html	etag:%2255edd079228d7bd323d2fb6a7f46f4da-ssl-df%22	https://kalvin.netlify.app/blogs-page.html	/home/rahul/websites/resume/kalvin.netlify.app/blogs-page.html	(from https://kalvin.netlify.app/index-slider.html)
10:06:21	212392/212392	---M--	200	added ('OK')	image/jpeg	etag:%229c5409eadfd534c90c8e069c3a8ccfba-ssl%22	https://kalvin.netlify.app/images/background/testimonials-bg.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/background/testimonials-bg.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:21	15017/15017	---M--	200	added ('OK')	image/jpeg	etag:%22f9fa9eee173ff88467bd9b961231c7c2-ssl%22	https://kalvin.netlify.app/images/testimonial/img-1.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/testimonial/img-1.jpg	(from https://kalvin.netlify.app/index-slider.html)
10:06:23	89501/89501	---MCZ	200	added ('OK')	application/javascript	etag:%22d02571e3593c7ac903004599031cdc0e-ssl-df%22	https://kalvin.netlify.app/js/jquery.min.js	/home/rahul/websites/resume/kalvin.netlify.app/js/jquery.min.js	(from https://kalvin.netlify.app/index-slider.html)
